name,bus0,bus1,r,x,b,s_nom,build_year,carrier,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
0,Beauly,Peterhead,0.0122,0.02,0.0856,707.535885167464,0,AC,2.6446280991735537e-07,1.6132231404958679e-07,707.535885167464,275.0
1,Beauly,Errochty,0.007,0.15,0.052,177.89473684210526,0,AC,1.9834710743801654e-06,9.256198347107438e-08,177.89473684210526,275.0
2,Beauly,Peterhead,0.0122,0.02,0.2844,707.535885167464,0,AC,2.6446280991735537e-07,1.6132231404958679e-07,707.535885167464,275.0
3,Beauly,Errochty,0.007,0.15,0.052,177.89473684210526,0,AC,1.9834710743801654e-06,9.256198347107438e-08,177.89473684210526,275.0
4,Peterhead,Denny/Bonnybridge,0.0004,0.065,0.4454,1024.2424242424242,0,AC,8.59504132231405e-07,5.289256198347108e-09,1024.2424242424242,275.0
5,Peterhead,Denny/Bonnybridge,0.0004,0.065,0.5545,1024.2424242424242,0,AC,8.59504132231405e-07,5.289256198347108e-09,1024.2424242424242,275.0
6,Errochty,Denny/Bonnybridge,0.003,0.041,0.0044,873.3014354066985,0,AC,5.421487603305786e-07,3.9669421487603305e-08,873.3014354066985,275.0
7,Errochty,Denny/Bonnybridge,0.003,0.041,0.044,873.3014354066985,0,AC,5.421487603305786e-07,3.9669421487603305e-08,873.3014354066985,275.0
8,Denny/Bonnybridge,Torness,0.00211,0.0135,0.1174,1468.9792663476874,0,AC,1.7851239669421487e-07,2.790082644628099e-08,1468.9792663476874,275.0
9,Denny/Bonnybridge,Strathaven,0.0013,0.023,0.1496,2021.5311004784687,0,AC,3.041322314049587e-07,1.7190082644628098e-08,2021.5311004784687,275.0
10,Denny/Bonnybridge,Strathaven,0.0013,0.023,0.1758,1509.4098883572567,0,AC,3.041322314049587e-07,1.7190082644628098e-08,1509.4098883572567,275.0
11,Denny/Bonnybridge,Neilston,0.001,0.024,0.125,1347.6874003189791,0,AC,3.1735537190082644e-07,1.3223140495867768e-08,1347.6874003189791,275.0
12,Denny/Bonnybridge,Neilston,0.001,0.024,0.125,1347.6874003189791,0,AC,3.1735537190082644e-07,1.3223140495867768e-08,1347.6874003189791,275.0
13,Denny/Bonnybridge,Torness,0.0021,0.0135,0.1538,1468.9792663476874,0,AC,1.7851239669421487e-07,2.7768595041322312e-08,1468.9792663476874,275.0
14,Neilston,Strathaven,0.00085,0.01051,0.38254,1873.285486443381,0,AC,6.56875e-08,5.3125e-09,1873.285486443381,400.0
15,Neilston,Strathaven,0.00151,0.01613,0.59296,1873.285486443381,0,AC,1.0081249999999999e-07,9.437500000000001e-09,1873.285486443381,400.0
16,Neilston,Deeside,0.0,0.0001,0.0,2964.9122807017543,0,AC,6.25e-10,0.0,2964.9122807017543,400.0
17,Strathaven,Harker,0.00078,0.00852,0.0737,2830.143540669856,0,AC,5.325e-08,4.875e-09,2830.143540669856,400.0
18,Strathaven,Harker,0.00078,0.00852,0.4635,2830.143540669856,0,AC,5.325e-08,4.875e-09,2830.143540669856,400.0
19,Torness,Eccles,0.0004,0.0001,0.728,2937.9585326953747,0,AC,6.25e-10,2.5e-09,2937.9585326953747,400.0
20,Torness,Eccles,0.0004,0.0001,1.2872,3369.218500797448,0,AC,6.25e-10,2.5e-09,3369.218500797448,400.0
21,Torness,Strathaven,0.003,0.2,0.2939,1280.3030303030303,0,AC,1.25e-06,1.875e-08,1280.3030303030303,400.0
22,Torness,Strathaven,0.003,0.2,0.2939,1280.3030303030303,0,AC,1.25e-06,1.875e-08,1280.3030303030303,400.0
23,Eccles,Stella West,0.00083,0.0175,0.6624,4137.400318979266,0,AC,1.0937500000000001e-07,5.1875e-09,4137.400318979266,400.0
24,Eccles,Stella West,0.00083,0.0175,0.6624,4137.400318979266,0,AC,1.0937500000000001e-07,5.1875e-09,4137.400318979266,400.0
25,Harker,Penwortham,0.00164,0.0163,0.4868,1873.285486443381,0,AC,1.0187499999999999e-07,1.0249999999999999e-08,1873.285486443381,400.0
26,Harker,Penwortham,0.00164,0.0163,0.4868,1873.285486443381,0,AC,1.0187499999999999e-07,1.0249999999999999e-08,1873.285486443381,400.0
27,Harker,Stella West,0.00352,0.02453,0.1898,1152.2727272727273,0,AC,1.533125e-07,2.2000000000000002e-08,1152.2727272727273,400.0
28,Harker,Stella West,0.00492,0.0343,0.2502,1044.4577352472088,0,AC,2.1437499999999999e-07,3.075e-08,1044.4577352472088,400.0
29,Stella West,Thornton/Drax/Eggborough,0.00053,0.00835,5.373,6522.807017543859,0,AC,5.2187499999999997e-08,3.3125e-09,6522.807017543859,400.0
30,Stella West,Thornton/Drax/Eggborough,0.00052,0.0063,1.0636,5417.703349282297,0,AC,3.9375e-08,3.2499999999999997e-09,5417.703349282297,400.0
31,Penwortham,Thornton/Drax/Eggborough,0.0007,0.042,0.3907,3396.1722488038276,0,AC,2.6250000000000003e-07,4.375e-09,3396.1722488038276,400.0
32,Penwortham,Thornton/Drax/Eggborough,0.00099,0.042,0.5738,3396.1722488038276,0,AC,2.6250000000000003e-07,6.1875e-09,3396.1722488038276,400.0
33,Penwortham,Daines,0.0004,0.0052,0.2498,2924.4816586921847,0,AC,3.25e-08,2.5e-09,2924.4816586921847,400.0
34,Penwortham,Daines,0.0004,0.0052,0.2664,2978.389154704944,0,AC,3.25e-08,2.5e-09,2978.389154704944,400.0
35,Penwortham,Deeside,0.0001,0.0085,0.0798,4474.322169059011,0,AC,5.3125e-08,6.25e-10,4474.322169059011,400.0
36,Penwortham,Deeside,0.0001,0.0085,0.0798,4474.322169059011,0,AC,5.3125e-08,6.25e-10,4474.322169059011,400.0
37,Deeside,Daines,0.00096,0.01078,0.385,4177.830940988835,0,AC,6.737499999999999e-08,6e-09,4177.830940988835,400.0
38,Deeside,Feckenham,0.00074,0.009,0.2911,3234.44976076555,0,AC,5.625e-08,4.625e-09,3234.44976076555,400.0
39,Deeside,Feckenham,0.00097,0.009,0.3835,3234.44976076555,0,AC,5.625e-08,6.0625000000000005e-09,3234.44976076555,400.0
40,Deeside,Daines,0.00096,0.01078,0.385,4177.830940988835,0,AC,6.737499999999999e-08,6e-09,4177.830940988835,400.0
41,Daines,Feckenham,0.00049,0.007,0.1943,3234.44976076555,0,AC,4.375e-08,3.0624999999999997e-09,3234.44976076555,400.0
42,Daines,Feckenham,0.00084,0.007,0.7759,3234.44976076555,0,AC,4.375e-08,5.25e-09,3234.44976076555,400.0
43,Daines,Thornton/Drax/Eggborough,0.00137,0.023,0.6643,1671.1323763955343,0,AC,1.4375e-07,8.5625e-09,1671.1323763955343,400.0
44,Daines,Thornton/Drax/Eggborough,0.00164,0.023,0.1104,1287.041467304625,0,AC,1.4375e-07,1.0249999999999999e-08,1287.041467304625,400.0
45,Daines,Th. Marsh/Stocksbridge,0.00107,0.01163,1.1745,1401.5948963317383,0,AC,7.26875e-08,6.6875e-09,1401.5948963317383,400.0
46,Daines,Th. Marsh/Stocksbridge,0.00082,0.01201,1.2125,1401.5948963317383,0,AC,7.50625e-08,5.1249999999999996e-09,1401.5948963317383,400.0
47,Th. Marsh/Stocksbridge,Keadby,0.0005,0.016,0.2795,3477.0334928229663,0,AC,1e-07,3.125e-09,3477.0334928229663,400.0
48,Th. Marsh/Stocksbridge,Keadby,0.005,0.018,0.1466,842.304625199362,0,AC,1.125e-07,3.125e-08,842.304625199362,400.0
49,Thornton/Drax/Eggborough,Keadby,0.00033,0.0052,0.3534,3733.0940988835723,0,AC,3.25e-08,2.0625e-09,3733.0940988835723,400.0
50,Thornton/Drax/Eggborough,Keadby,0.00016,0.00172,0.3992,7466.188197767145,0,AC,1.075e-08,1e-09,7466.188197767145,400.0
51,Thornton/Drax/Eggborough,Th. Marsh/Stocksbridge,0.00019,0.00222,0.7592,6738.437001594896,0,AC,1.3875000000000002e-08,1.1875e-09,6738.437001594896,400.0
52,Thornton/Drax/Eggborough,Th. Marsh/Stocksbridge,0.00018,0.00222,0.5573,6738.437001594896,0,AC,1.3875000000000002e-08,1.1250000000000001e-09,6738.437001594896,400.0
53,Keadby,Feckenham,0.00056,0.0141,0.4496,3746.570972886762,0,AC,8.8125e-08,3.4999999999999995e-09,3746.570972886762,400.0
54,Keadby,Feckenham,0.00056,0.0141,0.4496,5148.1658692185,0,AC,8.8125e-08,3.4999999999999995e-09,5148.1658692185,400.0
55,Ratcliffe,Keadby,0.001,0.01072,0.2651,2897.527910685805,0,AC,6.7e-08,6.25e-09,2897.527910685805,400.0
56,Ratcliffe,Keadby,0.001,0.01072,0.4573,2547.1291866028705,0,AC,6.7e-08,6.25e-09,2547.1291866028705,400.0
57,Ratcliffe,Sundon/East Claydon,0.00068,0.0097,0.4566,2830.143540669856,0,AC,6.0625e-08,4.25e-09,2830.143540669856,400.0
58,Ratcliffe,Sundon/East Claydon,0.00069,0.0097,0.4574,2830.143540669856,0,AC,6.0625e-08,4.3125e-09,2830.143540669856,400.0
59,Feckenham,Ratcliffe,0.00042,0.0018,0.2349,4177.830940988835,0,AC,1.125e-08,2.625e-09,4177.830940988835,400.0
60,Feckenham,Ratcliffe,0.00042,0.0018,0.2349,4662.998405103668,0,AC,1.125e-08,2.625e-09,4662.998405103668,400.0
61,Feckenham,Melksham,0.00138,0.0096,0.4829,2654.9441786283887,0,AC,6e-08,8.625e-09,2654.9441786283887,400.0
62,Feckenham,Melksham,0.00117,0.0096,0.4122,2654.9441786283887,0,AC,6e-08,7.3125e-09,2654.9441786283887,400.0
63,Bramford,Kemsley,0.00035,0.0023,0.2249,3746.570972886762,0,AC,1.4375e-08,2.1875e-09,3746.570972886762,400.0
64,Bramford,Kemsley,0.00035,0.0023,0.2249,3746.570972886762,0,AC,1.4375e-08,2.1875e-09,3746.570972886762,400.0
65,Bramford,Walpole,0.00178,0.0213,0.6682,2142.8229665071767,0,AC,1.33125e-07,1.1124999999999999e-08,2142.8229665071767,400.0
66,Bramford,Walpole,0.00132,0.0143,0.3656,2142.8229665071767,0,AC,8.9375e-08,8.25e-09,2142.8229665071767,400.0
67,Pelham,Keadby,0.00145,0.01824,0.9169,3746.570972886762,0,AC,1.14e-07,9.0625e-09,3746.570972886762,400.0
68,Pelham,Keadby,0.00145,0.01824,0.9169,3746.570972886762,0,AC,1.14e-07,9.0625e-09,3746.570972886762,400.0
69,Pelham,London,0.00025,0.01,0.1586,3746.570972886762,0,AC,6.25e-08,1.5625e-09,3746.570972886762,400.0
70,Pelham,London,0.00025,0.01,0.1586,3746.570972886762,0,AC,6.25e-08,1.5625e-09,3746.570972886762,400.0
71,Pelham,Bramford,0.0012,0.0048,0.4446,3746.570972886762,0,AC,3e-08,7.5e-09,3746.570972886762,400.0
72,Pelham,Bramford,0.0012,0.0048,0.7,3746.570972886762,0,AC,3e-08,7.5e-09,3746.570972886762,400.0
73,Pelham,Walpole,0.00037,0.0059,0.294,4083.492822966507,0,AC,3.6875e-08,2.3125e-09,4083.492822966507,400.0
74,Pelham,Walpole,0.00037,0.0059,0.2955,3746.570972886762,0,AC,3.6875e-08,2.3125e-09,3746.570972886762,400.0
75,Sundon/East Claydon,Keadby,0.00178,0.0172,0.8403,2708.8516746411483,0,AC,1.075e-07,1.1124999999999999e-08,2708.8516746411483,400.0
76,Sundon/East Claydon,Keadby,0.00178,0.0172,0.627,2708.8516746411483,0,AC,1.075e-07,1.1124999999999999e-08,2708.8516746411483,400.0
77,Sundon/East Claydon,London,0.00037,0.0041,0.4098,4413.676236044656,0,AC,2.5625000000000003e-08,2.3125e-09,4413.676236044656,400.0
78,Sundon/East Claydon,London,0.00034,0.0041,0.429,4413.676236044656,0,AC,2.5625000000000003e-08,2.125e-09,4413.676236044656,400.0
79,Sundon/East Claydon,Pelham,0.00019,0.00111,0.1232,3746.570972886762,0,AC,6.937500000000001e-09,1.1875e-09,3746.570972886762,400.0
80,Sundon/East Claydon,Pelham,0.00048,0.0061,0.3041,3746.570972886762,0,AC,3.8125000000000006e-08,3e-09,3746.570972886762,400.0
81,Melksham,S.W.Penisula,0.00151,0.0182,0.53,2708.8516746411483,0,AC,1.1375000000000001e-07,9.437500000000001e-09,2708.8516746411483,400.0
82,Melksham,Bramley,0.00086,0.0008,0.9622,3746.570972886762,0,AC,5e-09,5.375e-09,3746.570972886762,400.0
83,Melksham,Bramley,0.00023,0.0007,2.8447,5929.824561403509,0,AC,4.375e-09,1.4375e-09,5929.824561403509,400.0
84,Melksham,Sundon/East Claydon,0.00055,0.003,0.3468,3746.570972886762,0,AC,1.875e-08,3.4375e-09,3746.570972886762,400.0
85,Melksham,Sundon/East Claydon,0.00039,0.003,0.2466,3733.0940988835723,0,AC,1.875e-08,2.4375e-09,3733.0940988835723,400.0
86,Melksham,S.W.Penisula,0.00151,0.0182,0.53,2708.8516746411483,0,AC,1.1375000000000001e-07,9.437500000000001e-09,2708.8516746411483,400.0
87,Bramley,Lovedean,0.00068,0.007,0.2388,2978.389154704944,0,AC,4.375e-08,4.25e-09,2978.389154704944,400.0
88,Bramley,London,0.00104,0.0091,0.2918,1873.285486443381,0,AC,5.6875000000000005e-08,6.4999999999999995e-09,1873.285486443381,400.0
89,Bramley,London,0.00104,0.0091,0.2918,1873.285486443381,0,AC,5.6875000000000005e-08,6.4999999999999995e-09,1873.285486443381,400.0
90,Bramley,Lovedean,0.00068,0.007,0.2388,2978.389154704944,0,AC,4.375e-08,4.25e-09,2978.389154704944,400.0
91,London,Kemsley,0.0002,0.0057,0.532,9379.904306220094,0,AC,3.5625e-08,1.25e-09,9379.904306220094,400.0
92,London,Kemsley,0.0002,0.0057,0.532,7466.188197767145,0,AC,3.5625e-08,1.25e-09,7466.188197767145,400.0
93,Sellindge,Kemsley,0.0002,0.00503,0.1797,4177.830940988835,0,AC,3.14375e-08,1.25e-09,4177.830940988835,400.0
94,Sellindge,Kemsley,0.0002,0.00503,0.1797,4177.830940988835,0,AC,3.14375e-08,1.25e-09,4177.830940988835,400.0
95,Lovedean,Sellindge,0.00038,0.00711,0.2998,4137.400318979266,0,AC,4.44375e-08,2.375e-09,4137.400318979266,400.0
96,Lovedean,Sellindge,0.00038,0.00711,0.2998,4137.400318979266,0,AC,4.44375e-08,2.375e-09,4137.400318979266,400.0
97,S.W.Penisula,Lovedean,0.00051,0.00796,0.34,3746.570972886762,0,AC,4.975e-08,3.1875000000000004e-09,3746.570972886762,400.0
98,S.W.Penisula,Lovedean,0.00051,0.00796,0.34,3746.570972886762,0,AC,4.975e-08,3.1875000000000004e-09,3746.570972886762,400.0
