,carrier,p_nom,type,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Bonnyrigg,Landfill Gas,2.2,Landfill Gas,Torness,0.0,1.0,1.0,1.0
Salt Ayre,Landfill Gas,4.0,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Mountsorrel Landfill Site,Landfill Gas,1.6,Landfill Gas,Ratcliffe,0.0,1.0,1.0,1.0
Fairoak Landfill,Landfill Gas,1.5,Landfill Gas,Lovedean,0.0,1.0,1.0,1.0
Boston Landfill Scheme,Landfill Gas,1.3,Landfill Gas,Walpole,0.0,1.0,1.0,1.0
Trumps Farm Landfill Scheme,Landfill Gas,2.9,Landfill Gas,Bramley,0.0,1.0,1.0,1.0
High Heavens Landfill,Landfill Gas,1.9,Landfill Gas,Bramley,0.0,1.0,1.0,1.0
Docksway Landfill Scheme,Landfill Gas,2.0,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Cranford,Landfill Gas,1.1,Landfill Gas,Sundon/East Claydon,0.0,1.0,1.0,1.0
Ling Hall 1,Landfill Gas,3.0,Landfill Gas,Feckenham,0.0,1.0,1.0,1.0
Wapsey's Wood III,Landfill Gas,1.0,Landfill Gas,London,0.0,1.0,1.0,1.0
Greengairs Landfill Scheme Phase V,Landfill Gas,2.2,Landfill Gas,Strathaven,0.0,1.0,1.0,1.0
Seamer Carr,Landfill Gas,1.3,Landfill Gas,Thornton/Drax/Eggborough,0.0,1.0,1.0,1.0
Harewood Whin Landfill Site,Landfill Gas,2.4,Landfill Gas,Thornton/Drax/Eggborough,0.0,1.0,1.0,1.0
Lochhead Landfill Scheme,Landfill Gas,2.0,Landfill Gas,Errochty,0.0,1.0,1.0,1.0
Staveley Power,Landfill Gas,2.1,Landfill Gas,Th. Marsh/Stocksbridge,0.0,1.0,1.0,1.0
Albury Landfill,Landfill Gas,1.5,Landfill Gas,Bramley,0.0,1.0,1.0,1.0
Trecatti,Landfill Gas,7.0,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Gallymoor Landfill,Landfill Gas,2.9,Landfill Gas,Thornton/Drax/Eggborough,0.0,1.0,1.0,1.0
Meadow Hall Power,Landfill Gas,1.1,Landfill Gas,Th. Marsh/Stocksbridge,0.0,1.0,1.0,1.0
Arlesey Landfill Gas (Extension),Landfill Gas,2.3,Landfill Gas,Sundon/East Claydon,0.0,1.0,1.0,1.0
Wapsey's Wood,Landfill Gas,7.5,Landfill Gas,London,0.0,1.0,1.0,1.0
Standen Heath,Landfill Gas,1.5,Landfill Gas,Lovedean,0.0,1.0,1.0,1.0
Risley,Landfill Gas,2.0,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Hitchin,Landfill Gas,1.5,Landfill Gas,Sundon/East Claydon,0.0,1.0,1.0,1.0
Pebsham (Extension),Landfill Gas,1.0,Landfill Gas,Sellindge,0.0,1.0,1.0,1.0
Arden Quarry Landfill,Landfill Gas,3.1,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Capel Landfill,Landfill Gas,1.0,Landfill Gas,London,0.0,1.0,1.0,1.0
Folly Lane,Landfill Gas,1.0,Landfill Gas,Walpole,0.0,1.0,1.0,1.0
Auchencarroch Landfill Extension,Landfill Gas,2.0,Landfill Gas,Neilston,0.0,1.0,1.0,1.0
Rigby Landfill,Landfill Gas,3.0,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Stoneyhill Landfill Site,Landfill Gas,4.3,Landfill Gas,Peterhead,0.0,1.0,1.0,1.0
Norlands Lane Landfill Site (Extension),Landfill Gas,4.0,Landfill Gas,London,0.0,1.0,1.0,1.0
Roxwell Landfill Scheme,Landfill Gas,1.3,Landfill Gas,Pelham,0.0,1.0,1.0,1.0
Kirkless Power,Landfill Gas,2.1,Landfill Gas,Penwortham,0.0,1.0,1.0,1.0
Dunbar Power Plant,Landfill Gas,14.0,Landfill Gas,Torness,0.0,1.0,1.0,1.0
Dunbar,Landfill Gas,2.2,Landfill Gas,Torness,0.0,1.0,1.0,1.0
Whitehead Landfill,Landfill Gas,5.3,Landfill Gas,Daines,0.0,1.0,1.0,1.0
Colnbrook Landfill,Landfill Gas,1.9,Landfill Gas,London,0.0,1.0,1.0,1.0
Dorket Head,Landfill Gas,2.8,Landfill Gas,Ratcliffe,0.0,1.0,1.0,1.0
Drummond Moor Landfill,Landfill Gas,2.0,Landfill Gas,Torness,0.0,1.0,1.0,1.0
"Netley Landfill Site, Hampshire (Extension)",Landfill Gas,1.2,Landfill Gas,Lovedean,0.0,1.0,1.0,1.0
Pitsea Landfill Scheme,Landfill Gas,11.6,Landfill Gas,Kemsley,0.0,1.0,1.0,1.0
PwllfaWatkin Landfill Gas Site,Landfill Gas,3.2,Landfill Gas,Melksham,0.0,1.0,1.0,1.0
Scorton,Landfill Gas,1.0,Landfill Gas,Stella West,0.0,1.0,1.0,1.0
Colchester STW,Sewage Sludge Digestion,1.2,Sewage Sludge Digestion,Bramford,0.0,1.0,1.0,1.0
Cardiff Waste Water Treatment,Sewage Sludge Digestion,5.5,Sewage Sludge Digestion,Melksham,0.0,1.0,1.0,1.0
Longreach STW - extension,Sewage Sludge Digestion,1.1,Sewage Sludge Digestion,London,0.0,1.0,1.0,1.0
Riverside Sewage Treatment Works Digestion Plant,Sewage Sludge Digestion,4.0,Sewage Sludge Digestion,London,0.0,1.0,1.0,1.0
Howdon STW,Sewage Sludge Digestion,6.0,Sewage Sludge Digestion,Stella West,0.0,1.0,1.0,1.0
Esholt WWTW,Sewage Sludge Digestion,3.0,Sewage Sludge Digestion,Th. Marsh/Stocksbridge,0.0,1.0,1.0,1.0
Trowbridge Sewage Treatment Works,Sewage Sludge Digestion,1.2,Sewage Sludge Digestion,Melksham,0.0,1.0,1.0,1.0
Crossness Sewage Works,Sewage Sludge Digestion,5.7,Sewage Sludge Digestion,London,0.0,1.0,1.0,1.0
Beckton STW Enhanced Sludge Digestion,Sewage Sludge Digestion,5.8,Sewage Sludge Digestion,London,0.0,1.0,1.0,1.0
Minsworth Sewage Treatment Works,Sewage Sludge Digestion,9.7,Sewage Sludge Digestion,Feckenham,0.0,1.0,1.0,1.0
Slough Sewage Treatment Works,Sewage Sludge Digestion,1.2,Sewage Sludge Digestion,Bramley,0.0,1.0,1.0,1.0
Mogden STW,Sewage Sludge Digestion,5.8,Sewage Sludge Digestion,London,0.0,1.0,1.0,1.0
Wello Penguin Device (Billia Croo - EMEC),Shoreline Wave,1.0,Shoreline Wave,Beauly,0.0,1.0,1.0,1.0
Hayle Wave Hub (Test Site),Shoreline Wave,23.0,Shoreline Wave,S.W.Penisula,0.0,1.0,1.0,1.0
SR-2000 (FoW - EMEC),Tidal Barrage and Tidal Stream,2.0,Tidal Barrage and Tidal Stream,Peterhead,0.0,1.0,1.0,1.0
Inner Sound Phase 1A (MeyGen),Tidal Barrage and Tidal Stream,6.0,Tidal Barrage and Tidal Stream,Peterhead,0.0,1.0,1.0,1.0
Aberthaw Power Station Biomass,Biomass (co-firing),35.0,Biomass (co-firing),Melksham,44.0,1.0,1.0,0.73
Drax Biomass Power Station - Unit 1,Biomass (co-firing),645.0,Biomass (co-firing),Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
Uskmouth Power Station,Biomass (co-firing),18.0,Biomass (co-firing),Melksham,44.0,1.0,1.0,0.73
Thetford Biomass Power Station,Biomass (dedicated),38.5,Biomass (dedicated),Walpole,44.0,1.0,1.0,0.73
Chilton Energy Plant,Biomass (dedicated),18.0,Biomass (dedicated),Stella West,44.0,1.0,1.0,0.73
Double H Nurseries Biomass Plant,Biomass (dedicated),1.5,Biomass (dedicated),S.W.Penisula,44.0,1.0,1.0,0.73
Beckton STW Biodiesel Power Plant,Biomass (dedicated),8.0,Biomass (dedicated),London,44.0,1.0,1.0,0.73
Buslingthorpe Power Station (Leeds North),Biomass (dedicated),2.0,Biomass (dedicated),Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
Invergordon Pellet Mill,Biomass (dedicated),5.0,Biomass (dedicated),Beauly,44.0,1.0,1.0,0.73
Caledonian Papermill,Biomass (dedicated),26.0,Biomass (dedicated),Neilston,44.0,1.0,1.0,0.73
Wilton International,Biomass (dedicated),35.2,Biomass (dedicated),Stella West,44.0,1.0,1.0,0.73
South View Farm,Biomass (dedicated),2.0,Biomass (dedicated),Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
Cowie Biomass Facility,Biomass (dedicated),15.0,Biomass (dedicated),Denny/Bonnybridge,44.0,1.0,1.0,0.73
Thornton Power Station,Biomass (dedicated),9.0,Biomass (dedicated),Penwortham,44.0,1.0,1.0,0.73
Iggesund Paperboard CHP Plant,Biomass (dedicated),49.0,Biomass (dedicated),Harker,44.0,1.0,1.0,0.73
Goosey Lodge Industrial Estate,Biomass (dedicated),16.0,Biomass (dedicated),Sundon/East Claydon,44.0,1.0,1.0,0.73
Western Wood Energy Plant,Biomass (dedicated),14.0,Biomass (dedicated),Melksham,44.0,1.0,1.0,0.73
Eccleshall Biomass,Biomass (dedicated),2.6,Biomass (dedicated),Daines,44.0,1.0,1.0,0.73
Westfield Biomass Power Station,Biomass (dedicated),12.5,Biomass (dedicated),Denny/Bonnybridge,44.0,1.0,1.0,0.73
Derriford Hospital,Biomass (dedicated),1.5,Biomass (dedicated),S.W.Penisula,44.0,1.0,1.0,0.73
Rampton Hospital Energy Centre,Biomass (dedicated),1.2,Biomass (dedicated),Keadby,44.0,1.0,1.0,0.73
Elean Business Park Biomass Plant,Biomass (dedicated),40.0,Biomass (dedicated),Walpole,44.0,1.0,1.0,0.73
Eye Biomass Plant,Biomass (dedicated),14.3,Biomass (dedicated),Bramford,44.0,1.0,1.0,0.73
King's Yard,Biomass (dedicated),3.0,Biomass (dedicated),London,44.0,1.0,1.0,0.73
Ridham CHP Plant,Biomass (dedicated),25.0,Biomass (dedicated),Kemsley,44.0,1.0,1.0,0.73
Margam Green Energy Plant,Biomass (dedicated),40.0,Biomass (dedicated),Melksham,44.0,1.0,1.0,0.73
Lynemouth Power Station,Biomass (dedicated),420.0,Biomass (dedicated),Stella West,44.0,1.0,1.0,0.73
Holbrook Community Renewable Energy Centre,Biomass (dedicated),6.5,Biomass (dedicated),Th. Marsh/Stocksbridge,44.0,1.0,1.0,0.73
Cramlington CHP,Biomass (dedicated),27.7,Biomass (dedicated),Stella West,44.0,1.0,1.0,0.73
Markley Group (Premiere Kitckens) Biomass,Biomass (dedicated),2.1,Biomass (dedicated),Melksham,44.0,1.0,1.0,0.73
Heathrow Airport Biomass CHP,Biomass (dedicated),1.8,Biomass (dedicated),London,44.0,1.0,1.0,0.73
Bentwaters CHP,Biomass (dedicated),4.6,Biomass (dedicated),Bramford,44.0,1.0,1.0,0.73
SAICA Paper Mill,Biomass (dedicated),41.6,Biomass (dedicated),Daines,44.0,1.0,1.0,0.73
Eco Composting,Biomass (dedicated),3.2,Biomass (dedicated),S.W.Penisula,44.0,1.0,1.0,0.73
Rothes Bio-Plant,Biomass (dedicated),8.3,Biomass (dedicated),Beauly,44.0,1.0,1.0,0.73
Beckton Gas Pressure Reduction Station,Biomass (dedicated),19.0,Biomass (dedicated),London,44.0,1.0,1.0,0.73
Brigg Renewable Energy Plant (Re-submission),Biomass (dedicated),40.0,Biomass (dedicated),Keadby,44.0,1.0,1.0,0.73
Tilbury Green Power,Biomass (dedicated),43.0,Biomass (dedicated),Kemsley,44.0,1.0,1.0,0.73
Markinch Biomass CHP Plant,Biomass (dedicated),65.0,Biomass (dedicated),Denny/Bonnybridge,44.0,1.0,1.0,0.73
Blackburn Meadows Biomass Plant,Biomass (dedicated),30.0,Biomass (dedicated),Th. Marsh/Stocksbridge,44.0,1.0,1.0,0.73
Diageo Biomass Energy Project,Biomass (dedicated),5.5,Biomass (dedicated),Denny/Bonnybridge,44.0,1.0,1.0,0.73
Discovery Park,Biomass (dedicated),16.0,Biomass (dedicated),Sellindge,44.0,1.0,1.0,0.73
Drax Biomass Power Station - Unit 3,Biomass (dedicated),645.0,Biomass (dedicated),Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
King George Dock,Biomass (dedicated),9.0,Biomass (dedicated),Keadby,44.0,1.0,1.0,0.73
Northampton General Hospital,Biomass (dedicated),1.9,Biomass (dedicated),Sundon/East Claydon,44.0,1.0,1.0,0.73
Snetterton Biomass Plant,Biomass (dedicated),44.2,Biomass (dedicated),Bramford,44.0,1.0,1.0,0.73
Speyside Biomass CHP Plant,Biomass (dedicated),12.5,Biomass (dedicated),Beauly,44.0,1.0,1.0,0.73
Widnes 3MG Biomass/Mersey Bioenergy (CHP) Plant,Biomass (dedicated),20.0,Biomass (dedicated),Deeside,44.0,1.0,1.0,0.73
Drax Biomass Power Station - Unit 2,Biomass (dedicated),645.0,Biomass (dedicated),Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
Stevens Croft,Biomass (dedicated),50.4,Biomass (dedicated),Harker,44.0,1.0,1.0,0.73
Macphie of Glenbervie,Biomass (dedicated),1.2,Biomass (dedicated),Peterhead,44.0,1.0,1.0,0.73
Sleaford Renewable Energy Plant,Biomass (dedicated),40.0,Biomass (dedicated),Ratcliffe,44.0,1.0,1.0,0.73
Sustainable Power and Research Campus,Biomass (dedicated),6.5,Biomass (dedicated),Torness,44.0,1.0,1.0,0.73
Whitemoor,Biomass (dedicated),18.0,Biomass (dedicated),Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
Daventry,Biomass (dedicated),1.0,Biomass (dedicated),Sundon/East Claydon,44.0,1.0,1.0,0.73
The Sawmill,Biomass (dedicated),6.8,Biomass (dedicated),Ratcliffe,44.0,1.0,1.0,0.73
Felinfach,Biomass (dedicated),3.2,Biomass (dedicated),Deeside,44.0,1.0,1.0,0.73
Acharn Forest Killin Biomass Plant,Biomass (dedicated),5.6,Biomass (dedicated),Errochty,44.0,1.0,1.0,0.73
Hull Biomass Plant (Tansterne power station),Biomass (dedicated),22.0,Biomass (dedicated),Keadby,44.0,1.0,1.0,0.73
Pulteney Distillery,Biomass (dedicated),3.5,Biomass (dedicated),Peterhead,44.0,1.0,1.0,0.73
Harbour Road,Biomass (dedicated),2.6,Biomass (dedicated),Neilston,44.0,1.0,1.0,0.73
Barnsley 1.5,Biomass (dedicated),9.0,Biomass (dedicated),Th. Marsh/Stocksbridge,44.0,1.0,1.0,0.73
Spalding.1,Biomass (dedicated),14.5,Biomass (dedicated),Walpole,44.0,1.0,1.0,0.73
Balderton,Biomass (dedicated),20.3,Biomass (dedicated),Ratcliffe,44.0,1.0,1.0,0.73
Liberty Steel Power Station,Biomass (dedicated),9.0,Biomass (dedicated),Melksham,44.0,1.0,1.0,0.73
JG Pears' animal rendering facility,Biomass (dedicated),12.0,Biomass (dedicated),Keadby,44.0,1.0,1.0,0.73
Blazer Fuels,Biomass (dedicated),3.0,Biomass (dedicated),Deeside,44.0,1.0,1.0,0.73
Loicher Lane,Biomass (dedicated),8.0,Biomass (dedicated),Th. Marsh/Stocksbridge,44.0,1.0,1.0,0.73
Safran Landing Systems Service,Biomass (dedicated),3.6,Biomass (dedicated),Feckenham,44.0,1.0,1.0,0.73
ABP Ellesmere Abbatoir,Biomass (dedicated),1.1,Biomass (dedicated),Deeside,44.0,1.0,1.0,0.73
Alscot,Biomass (dedicated),1.6,Biomass (dedicated),Feckenham,44.0,1.0,1.0,0.73
Ipswich Hospital Energy Centre,Biomass (dedicated),2.6,Biomass (dedicated),Bramford,44.0,1.0,1.0,0.73
Drax Biomass Power Station - Unit 4,Biomass (dedicated),645.0,Biomass (dedicated),Thornton/Drax/Eggborough,44.0,1.0,1.0,0.73
Liberty Steel Dalzell,Biomass (dedicated),17.0,Biomass (dedicated),Strathaven,44.0,1.0,1.0,0.73
Wind Offshore Deeside,Wind Offshore,880.761326,Wind Offshore,Deeside,0.0,1.0,1.0,
Wind Offshore Sellindge,Wind Offshore,246.0227,Wind Offshore,Sellindge,0.0,1.0,1.0,
Wind Offshore Stella West,Wind Offshore,84.959842,Wind Offshore,Stella West,0.0,1.0,1.0,
Wind Offshore Penwortham,Wind Offshore,1358.209366,Wind Offshore,Penwortham,0.0,1.0,1.0,
Wind Offshore Bramford,Wind Offshore,1420.207109,Wind Offshore,Bramford,0.0,1.0,1.0,
Wind Offshore Torness,Wind Offshore,5.74053,Wind Offshore,Torness,0.0,1.0,1.0,
Wind Offshore Walpole,Wind Offshore,1792.1934500000002,Wind Offshore,Walpole,0.0,1.0,1.0,
Wind Offshore Kemsley,Wind Offshore,114.40056200000001,Wind Offshore,Kemsley,0.0,1.0,1.0,
Wind Offshore Lovedean,Wind Offshore,328.03027,Wind Offshore,Lovedean,0.0,1.0,1.0,
Wind Offshore Harker,Wind Offshore,142.693176,Wind Offshore,Harker,0.0,1.0,1.0,
Wind Offshore Peterhead,Wind Offshore,109.234079,Wind Offshore,Peterhead,0.0,1.0,1.0,
Wind Onshore Thornton/Drax/Eggborough,Wind Onshore,262.8113833,Wind Onshore,Thornton/Drax/Eggborough,0.0,1.0,1.0,
Wind Onshore Keadby,Wind Onshore,302.73686820000006,Wind Onshore,Keadby,0.0,1.0,1.0,
Wind Onshore Melksham,Wind Onshore,661.6895789699998,Wind Onshore,Melksham,0.0,1.0,1.0,
Wind Onshore Deeside,Wind Onshore,407.82375260000003,Wind Onshore,Deeside,0.0,1.0,1.0,
Wind Onshore Ratcliffe,Wind Onshore,136.34929577000003,Wind Onshore,Ratcliffe,0.0,1.0,1.0,
Wind Onshore Sellindge,Wind Onshore,63.3722907,Wind Onshore,Sellindge,0.0,1.0,1.0,
Wind Onshore Stella West,Wind Onshore,363.001745,Wind Onshore,Stella West,0.0,1.0,1.0,
Wind Onshore Penwortham,Wind Onshore,219.77848607,Wind Onshore,Penwortham,0.0,1.0,1.0,
Wind Onshore S.W.Penisula,Wind Onshore,222.03841997000004,Wind Onshore,S.W.Penisula,0.0,1.0,1.0,
Wind Onshore Bramford,Wind Onshore,35.02896217,Wind Onshore,Bramford,0.0,1.0,1.0,
Wind Onshore Neilston,Wind Onshore,1221.8704851,Wind Onshore,Neilston,0.0,1.0,1.0,
Wind Onshore Torness,Wind Onshore,759.1491821699999,Wind Onshore,Torness,0.0,1.0,1.0,
Wind Onshore Walpole,Wind Onshore,298.5936558,Wind Onshore,Walpole,0.0,1.0,1.0,
Wind Onshore Daines,Wind Onshore,52.166788000000004,Wind Onshore,Daines,0.0,1.0,1.0,
Wind Onshore Th. Marsh/Stocksbridge,Wind Onshore,75.142774,Wind Onshore,Th. Marsh/Stocksbridge,0.0,1.0,1.0,
Wind Onshore Kemsley,Wind Onshore,86.44244,Wind Onshore,Kemsley,0.0,1.0,1.0,
Wind Onshore Bramley,Wind Onshore,1.8832775,Wind Onshore,Bramley,0.0,1.0,1.0,
Wind Onshore Sundon/East Claydon,Wind Onshore,144.5415538,Wind Onshore,Sundon/East Claydon,0.0,1.0,1.0,
Wind Onshore Pelham,Wind Onshore,43.315384,Wind Onshore,Pelham,0.0,1.0,1.0,
Wind Onshore Harker,Wind Onshore,413.096936,Wind Onshore,Harker,0.0,1.0,1.0,
Wind Onshore Peterhead,Wind Onshore,772.23795184,Wind Onshore,Peterhead,0.0,1.0,1.0,
Wind Onshore London,Wind Onshore,12.80628767,Wind Onshore,London,0.0,1.0,1.0,
Wind Onshore Beauly,Wind Onshore,1891.0931837,Wind Onshore,Beauly,0.0,1.0,1.0,
Wind Onshore N. Ireland,Wind Onshore,566.5840562000001,Wind Onshore,N. Ireland,0.0,1.0,1.0,
Wind Onshore Denny/Bonnybridge,Wind Onshore,314.31902299999996,Wind Onshore,Denny/Bonnybridge,0.0,1.0,1.0,
Wind Onshore Strathaven,Wind Onshore,1420.46210657,Wind Onshore,Strathaven,0.0,1.0,1.0,
Wind Onshore Feckenham,Wind Onshore,58.3816051,Wind Onshore,Feckenham,0.0,1.0,1.0,
Wind Onshore Errochty,Wind Onshore,246.6151953,Wind Onshore,Errochty,0.0,1.0,1.0,
Wind Onshore Eccles,Wind Onshore,98.212926,Wind Onshore,Eccles,0.0,1.0,1.0,
Solar Photovoltaics Thornton/Drax/Eggborough,Solar Photovoltaics,107.11018229999998,Solar Photovoltaics,Thornton/Drax/Eggborough,0.0,1.0,1.0,
Solar Photovoltaics Keadby,Solar Photovoltaics,405.9373643,Solar Photovoltaics,Keadby,0.0,1.0,1.0,
Solar Photovoltaics Melksham,Solar Photovoltaics,2213.805271,Solar Photovoltaics,Melksham,0.0,1.0,1.0,
Solar Photovoltaics Deeside,Solar Photovoltaics,405.79123139999996,Solar Photovoltaics,Deeside,0.0,1.0,1.0,
Solar Photovoltaics Ratcliffe,Solar Photovoltaics,755.6163078,Solar Photovoltaics,Ratcliffe,0.0,1.0,1.0,
Solar Photovoltaics Sellindge,Solar Photovoltaics,247.8292889,Solar Photovoltaics,Sellindge,0.0,1.0,1.0,
Solar Photovoltaics Stella West,Solar Photovoltaics,87.52933060000001,Solar Photovoltaics,Stella West,0.0,1.0,1.0,
Solar Photovoltaics Penwortham,Solar Photovoltaics,138.0888441,Solar Photovoltaics,Penwortham,0.0,1.0,1.0,
Solar Photovoltaics S.W.Penisula,Solar Photovoltaics,2325.0069802999997,Solar Photovoltaics,S.W.Penisula,0.0,1.0,1.0,
Solar Photovoltaics Bramford,Solar Photovoltaics,484.40689490000005,Solar Photovoltaics,Bramford,0.0,1.0,1.0,
Solar Photovoltaics Neilston,Solar Photovoltaics,7.306288,Solar Photovoltaics,Neilston,0.0,1.0,1.0,
Solar Photovoltaics Torness,Solar Photovoltaics,36.53144,Solar Photovoltaics,Torness,0.0,1.0,1.0,
Solar Photovoltaics Walpole,Solar Photovoltaics,710.6095713000001,Solar Photovoltaics,Walpole,0.0,1.0,1.0,
Solar Photovoltaics Daines,Solar Photovoltaics,93.95886329999999,Solar Photovoltaics,Daines,0.0,1.0,1.0,
Solar Photovoltaics Th. Marsh/Stocksbridge,Solar Photovoltaics,200.77679469999995,Solar Photovoltaics,Th. Marsh/Stocksbridge,0.0,1.0,1.0,
Solar Photovoltaics Kemsley,Solar Photovoltaics,385.1875022,Solar Photovoltaics,Kemsley,0.0,1.0,1.0,
Solar Photovoltaics Lovedean,Solar Photovoltaics,643.2455913,Solar Photovoltaics,Lovedean,0.0,1.0,1.0,
Solar Photovoltaics Bramley,Solar Photovoltaics,516.1161837,Solar Photovoltaics,Bramley,0.0,1.0,1.0,
Solar Photovoltaics Sundon/East Claydon,Solar Photovoltaics,736.1815823999998,Solar Photovoltaics,Sundon/East Claydon,0.0,1.0,1.0,
Solar Photovoltaics Pelham,Solar Photovoltaics,732.8206833,Solar Photovoltaics,Pelham,0.0,1.0,1.0,
Solar Photovoltaics Harker,Solar Photovoltaics,73.93963550000001,Solar Photovoltaics,Harker,0.0,1.0,1.0,
Solar Photovoltaics Peterhead,Solar Photovoltaics,15.781582,Solar Photovoltaics,Peterhead,0.0,1.0,1.0,
Solar Photovoltaics London,Solar Photovoltaics,63.56470600000001,Solar Photovoltaics,London,0.0,1.0,1.0,
Solar Photovoltaics Denny/Bonnybridge,Solar Photovoltaics,46.760244300000004,Solar Photovoltaics,Denny/Bonnybridge,0.0,1.0,1.0,
Solar Photovoltaics Strathaven,Solar Photovoltaics,1.8996348,Solar Photovoltaics,Strathaven,0.0,1.0,1.0,
Solar Photovoltaics Feckenham,Solar Photovoltaics,518.3080704,Solar Photovoltaics,Feckenham,0.0,1.0,1.0,
Large Hydro Deeside,Large Hydro,163.7,Large Hydro,Deeside,0.0,1.0,1.0,
Large Hydro Neilston,Large Hydro,227.5,Large Hydro,Neilston,0.0,1.0,1.0,
Large Hydro Harker,Large Hydro,39.0,Large Hydro,Harker,0.0,1.0,1.0,
Large Hydro Beauly,Large Hydro,695.1,Large Hydro,Beauly,0.0,1.0,1.0,
Large Hydro Strathaven,Large Hydro,91.0,Large Hydro,Strathaven,0.0,1.0,1.0,
Large Hydro Errochty,Large Hydro,444.3,Large Hydro,Errochty,0.0,1.0,1.0,
Small Hydro Deeside,Small Hydro,10.6,Small Hydro,Deeside,0.0,1.0,1.0,
Small Hydro Ratcliffe,Small Hydro,1.7,Small Hydro,Ratcliffe,0.0,1.0,1.0,
Small Hydro Stella West,Small Hydro,0.8,Small Hydro,Stella West,0.0,1.0,1.0,
Small Hydro Neilston,Small Hydro,30.4,Small Hydro,Neilston,0.0,1.0,1.0,
Small Hydro Beauly,Small Hydro,86.6,Small Hydro,Beauly,0.0,1.0,1.0,
Small Hydro N. Ireland,Small Hydro,2.4,Small Hydro,N. Ireland,0.0,1.0,1.0,
Small Hydro Denny/Bonnybridge,Small Hydro,7.199999999999999,Small Hydro,Denny/Bonnybridge,0.0,1.0,1.0,
Small Hydro Feckenham,Small Hydro,5.5,Small Hydro,Feckenham,0.0,1.0,1.0,
Small Hydro Errochty,Small Hydro,70.4,Small Hydro,Errochty,0.0,1.0,1.0,
Interconnector Deeside,Interconnector,600.0,Interconnector,Deeside,20.0,1.0,1.0,1.0
Interconnector Sellindge,Interconnector,3200.0,Interconnector,Sellindge,20.0,1.0,1.0,1.0
Interconnector Neilston,Interconnector,600.0,Interconnector,Neilston,20.0,1.0,1.0,1.0
Interconnector Kemsley,Interconnector,1100.0,Interconnector,Kemsley,20.0,1.0,1.0,1.0
Interconnector Lovedean,Interconnector,1100.0,Interconnector,Lovedean,20.0,1.0,1.0,1.0
